"","node","state","prob"
"1",137,"A",1
"2",138,"A",1
"3",139,"W",1
"4",140,"W",1
"5",141,"P",1
"6",142,"P",1
"7",143,"P",1
"8",144,"P",1
"9",145,"A",1
"10",146,"W",1
"11",147,"W",1
"12",148,"P",1
"13",149,"F",1
"14",150,"F",1
"15",151,"C",1
"16",152,"W",1
"17",153,"A",1
"18",154,"W",1
"19",155,"W",1
"20",156,"H",1
"21",157,"C",1
"22",158,"C",1
"23",159,"C",1
"24",160,"C",1
"25",161,"C",1
"26",162,"C",1
"27",163,"C",1
"28",164,"C",1
"29",165,"C",1
"30",166,"C",1
"31",167,"C",1
"32",168,"C",1
"33",169,"C",1
"34",170,"C",1
"35",171,"C",1
"36",172,"C",1
"37",173,"C",1
"38",174,"C",1
"39",175,"C",1
"40",176,"C",1
"41",177,"C",1
"42",178,"C",1
"43",179,"C",1
"44",180,"C",1
"45",181,"C",1
"46",182,"C",1
"47",183,"C",1
"48",184,"C",1
"49",185,"C",1
"50",186,"C",1
"51",187,"C",1
"52",188,"C",1
"53",189,"C",1
"54",190,"C",1
"55",191,"C",1
"56",192,"W",1
"57",193,"W",1
"58",194,"N",1
"59",195,"N",1
"60",196,"Z",1
"61",197,"Z",1
"62",198,"W",1
"63",199,"W",1
"64",200,"W",1
"65",201,"W",1
"66",202,"P",1
"67",203,"Z",1
"68",204,"N",1
"69",205,"H",1
"70",206,"H",1
"71",207,"H",1
"72",208,"H",1
"73",209,"H",1
"74",210,"W",1
"75",211,"W",1
"76",212,"W",1
"77",213,"W",1
"78",214,"A",1
"79",215,"A",1
"80",216,"W",1
"81",217,"W",1
"82",218,"W",1
"83",219,"W",1
"84",220,"W",1
"85",221,"P",1
"86",222,"W",1
"87",223,"W",1
"88",224,"P",1
"89",225,"A",1
"90",226,"A",1
"91",227,"A",1
"92",228,"A",1
"93",229,"W",1
"94",230,"A",1
"95",231,"A",1
"96",232,"A",1
"97",233,"A",1
"98",234,"A",1
"99",235,"A",1
"100",236,"A",1
"101",237,"A",1
"102",238,"C",1
"103",239,"C",1
"104",240,"W",1
"105",241,"W",1
"106",242,"A",1
"107",243,"A",1
"108",244,"A",1
"109",245,"A",1
"110",246,"A",1
"111",247,"A",1
"112",248,"W",1
"113",249,"A",1
"114",250,"A",1
"115",251,"A",1
"116",252,"W",1
"117",253,"W",1
"118",254,"W",1
"119",255,"Z",1
"120",256,"Z",1
"121",257,"Z",1
"122",258,"W",1
"123",259,"W",1
"124",260,"A",1
"125",261,"A",1
"126",262,"A",1
"127",263,"W",1
"128",264,"A",1
"129",265,"A",1
"130",266,"H",1
"131",267,"Z",1
"132",268,"H",1
"133",269,"P",1
"134",270,"W",1
"135",271,"C",1
